Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.0,98.2,99.6,99.5,99.6,100.0,99.6,100.0,99.7,100.0,99.7,100.0,100.0,100.0,100.0
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.5,98.8,99.1,99.7,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.3,60.3,57.3,58.4,55.8,55.8,61.5,61.9,62.6,64.3,65.6,67.1,68.6,69.9,71.1
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.2,50.6,51.7,52.8,53.7,55.2,56.3,56.8,58.6,59.8,60.9,62.2,63.2,64.3,65.4
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.2,11.6,12.3,13.0,13.7,15.4,15.2,13.5,16.6,17.3,18.0,18.7,19.1,20.1,20.8
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.8,36.8,37.1,40.0,40.8,41.6,42.5,43.4,44.3,45.3,46.2,47.0,47.7,48.7,49.7
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.0,96.8,96.1,96.8,96.7,97.0,97.8,97.8,98.2,98.4,98.5,98.5,99.4,99.7,100.0
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.5,57.8,60.1,69.7,69.3,69.3,69.4,71.8,74.1,76.4,78.7,81.0,83.3,85.6,87.9
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.5,72.3,74.1,81.1,82.3,83.2,84.3,85.3,86.4,87.5,88.6,90.2,91.4,93.7,95.5
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,99.3,99.4,99.0,99.2,99.5,99.6,99.4,99.4,99.5,99.6,99.7,99.7,99.9,100.0
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.1,97.3,97.6,97.8,98.0,98.3,98.5,98.7,99.0,99.2,99.4,99.6,99.8,99.9,100.0
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,57.2,57.4,57.6,57.9,58.1,54.6,58.6,58.9,59.1,59.8,60.2,62.4,64.7,64.5,65.4
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.1,90.9,90.2,91.3,90.1,93.5,94.6,95.7,96.7,97.8,98.9,99.6,99.9,100.0,100.0
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.9,97.6,97.9,98.1,97.9,97.9,98.4,98.5,98.6,98.9,100.0,98.9,99.0,100.0,98.1
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.7,99.3,98.8,98.9,99.0,98.8,99.2,99.3,99.4,99.4,99.5,99.6,99.5,99.7,99.8
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8,97.2,96.5,97.5,96.9,97.2,98.0,99.0,98.8,98.7,99.2,98.7,99.1,98.9,100.0
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.4,99.8,98.9,99.4,99.4,99.7,99.9,99.8,99.3,100.0,100.0,100.0,100.0,100.0,100.0
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3,22.0,23.7,25.5,23.0,29.0,30.8,27.2,29.0,42.9,44.3,44.8,48.0,51.1,54.2
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.9,86.2,85.6,92.4,92.5,92.6,91.8,93.0,93.2,93.4,96.0,95.1,96.1,97.1,92.1
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.7,60.5,62.2,64.5,66.3,67.8,69.4,71.2,73.0,74.8,76.5,78.3,80.1,81.9,83.6
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,81.3,82.0,82.7,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0,100.0
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74.0,79.3,79.0,80.4,83.5,85.4,86.3
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.1,25.4,26.7,28.1,29.5,26.2,32.2,33.5,34.9,33.5,35.4,45.0,42.2,44.7,46.8
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,39.8,41.5,43.2,46.8,48.3,49.9,51.5,53.0,54.7,56.4,56.2,60.3,62.1,62.2,63.7
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,7.9,9.3,4.7,6.0,13.5,14.9,16.3,17.2,20.1,22.9,26.0,28.4,30.9,33.4,35.8
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.1,65.2,65.4,66.1,66.1,65.7,65.9,66.0,66.1,66.2,66.4,66.5,66.6,66.7,66.8
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.2,90.0,89.0,89.4,88.8,90.2,90.6,91.0,91.4,91.8,92.2,92.3,93.0,93.4,93.7
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.7,81.9,83.1,84.3,84.0,86.8,88.1,85.5,90.5,91.8,93.3,94.2,95.4,96.6,97.9
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,78.5,79.1,77.6,83.3,84.2,85.1,86.0,86.9,88.0,89.0,90.0,90.9,91.6,92.3,92.9
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,73.5,76.4,78.3,81.0,82.2,83.6,87.2,88.7,90.0,91.6,86.5,91.6,91.1,93.1,94.1
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.5,36.1,36.6,37.2,37.8,37.9,38.9,39.6,40.8,40.4,43.3,44.4,45.4,46.3,47.2
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.1,92.7,93.6,94.2,94.8,96.0,96.5,97.0,97.5,97.6,98.1,98.5,98.9,97.0,99.2
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3,74.1,75.0,76.3,79.5,79.9,83.1,85.1,88.0,89.6,91.8,95.7,95.9,96.5,99.6
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.7,98.8,99.7,99.4,99.5,99.5,99.8,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.1,97.9,98.1,98.4,98.0,99.3,99.0,99.2,99.4,99.7,99.9,99.9,100.0,100.0,100.0
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.4,92.0,91.0,92.2,91.1,93.1,93.9,93.3,94.9,96.6,97.4,98.2,98.9,99.7,100.0
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8,100.0,99.4,100.0,99.6,99.5,99.7,99.8,99.9,100.0,100.0,99.9,99.9,99.9,99.9
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.3,30.3,23.0,19.2,36.2,38.1,40.1,36.0,41.6,53.1,55.8,61.2,69.7,71.5,76.5
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5,99.5,99.5,99.0,98.3,99.8,98.9,99.8,98.7,99.7,100.0,100.0,99.9,99.9,99.7
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.2,26.4,25.6,31.1,37.4,42.3,50.9,56.1,62.7,68.8,89.1,80.7,84.0,86.4,82.5
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.7,69.4,64.2,63.2,74.9,76.7,78.8,83.4,90.6,92.6,85.7,87.5,89.3,91.0,92.8
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.0,97.3,97.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.0,66.0,67.4,70.2,70.0,76.4,79.3,82.5,89.7,89.0,93.6,92.9,98.4,99.3,100.0
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.8,99.9,99.3,99.5,99.7,99.5,99.6,99.7,99.7,99.8,99.9,99.7,100.0,100.0,100.0
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,3.0,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.8,85.1,83.5,81.9,80.3,78.7,77.1,75.5,73.8,72.2,70.6,67.0,68.5,69.4,70.2
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8,92.7,93.5,94.2,95.4,95.3,97.2,98.1,99.0,99.8,99.9,100.0,100.0,100.0,100.0
Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.0,82.9,87.1,85.3,87.8,87.0,90.2,92.7,94.3,97.5,97.5,99.6,99.8,100.0,100.0
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.9,16.0,17.0,17.0,22.5,20.6,26.9,27.8,31.8,35.1,33.7,47.0,44.6,47.5,50.4
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.4,99.5,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.7,100.0,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.2,84.1,85.9,95.7,96.1,96.4,97.2,97.3,97.3,97.8,100.0,98.1,99.6,100.0,100.0
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.5,18.3,17.4,12.3,14.3,18.7,12.9,23.0,23.8,22.9,24.1,36.5,31.0,32.0,35.1
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.6,93.6,99.9,99.0,99.1,99.2,99.4,100.0,99.8,100.0,99.8,100.0,100.0,100.0,100.0
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.9,98.9,98.3,99.2,99.0,99.1,99.1,99.2,99.0,99.5,100.0,99.5,99.6,99.4,100.0
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3,80.2,81.7,89.4,89.9,90.4,90.9,91.5,92.1,92.7,93.8,95.3,96.8,98.3,99.8
North Macedonia,MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1,99.2,99.2,99.5,99.7,99.6,99.7,99.8,99.9,100.0,100.0,99.8,100.0,100.0,100.0
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.7,23.4,24.0,27.0,28.8,25.6,32.4,34.2,37.6,38.8,34.8,50.9,47.9,50.6,53.4
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.5,50.6,51.8,48.8,54.1,55.3,56.5,52.0,60.5,55.6,69.8,66.1,68.3,70.4,72.5
Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0,99.0,99.1,99.2,99.0,99.3,99.7,97.7,99.5,99.6,100.0,100.0,100.0,99.9,99.8
Mongolia,MNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,78.1,79.2,80.3,78.5,72.1,83.7,81.2,86.0,88.0,90.8,93.6,98.1,98.9,99.5,100.0
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.4,13.6,15.0,18.9,20.2,21.2,22.4,24.8,24.0,26.2,24.3,31.1,29.7,30.6,31.5
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.0,30.0,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7
Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0,99.0,99.0,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100.0,99.5,99.6
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,7.4,7.8,8.3,8.7,7.6,7.4,9.0,11.9,10.8,11.0,12.7,18.0,11.2,11.5,14.2
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,99.0,99.3,99.5,99.5,99.8,99.6,99.7,99.9,99.9,100.0,100.0,100.0,100.0,100.0
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.7,42.4,44.1,44.4,42.3,46.4,47.4,48.4,51.6,49.7,52.5,52.3,53.3,52.3,55.2
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17.0,17.6,17.6,18.5,18.7,18.6
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.1,50.3,50.0,48.0,55.9,53.0,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.9,77.5,77.9,80.1,81.2,81.3,81.9,81.9,83.2,83.9,84.6,85.2,85.7,86.0,86.3
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,52.6,56.0,59.3,68.6,67.3,75.2,77.4,84.9,82.0,90.7,86.6,93.9,89.9,89.9,89.9
Nauru,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,99.1,99.1,99.2,99.0,99.4,99.4,99.5,99.0,99.7,99.8,99.9,100.0,100.0,100.0
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.2,81.4,82.5,87.1,87.8,88.6,89.3,90.1,91.0,91.8,92.7,93.4,93.9,94.5,94.9
Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.5,86.3,87.0,86.9,88.6,89.3,89.1,90.8,91.6,92.4,93.7,93.8,93.9,95.3,95.3
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.0,84.7,86.4,88.1,89.7,91.1,92.1,92.9,93.9,94.2,94.8,95.2,95.6,96.2,95.6
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.0,83.3,84.3,85.5,87.2,87.1,87.5,89.8,89.1,92.0,93.0,94.2,95.3,96.4,97.5
